# Selected unmodified vectors from snowballstem/snowball-data russian/{voc,output}.txt
# https://github.com/snowballstem/snowball-data/tree/master/russian
# word	stem
а	а
абиссинию	абиссин
абонемента	абонемент
абонировался	абонирова
абонируйся	абонир
абонируюсь	абонир
абрикосы	абрикос
август	август
августа	август
августе	август
авдотье	авдот
авдотьей	авдот
авдотьи	авдот
авдотью	авдот
авдотья	авдот
авенантненькая	авенантненьк
аверка	аверк
аверкой	аверк
авиатор	авиатор
авиаторов	авиатор
авиация	авиац
авось	ав
авраама	авраам
австрии	австр
австрийский	австрийск
автобиографию	автобиограф
автографом	автограф
автомобили	автомоб
автомобиль	автомобил
автор	автор
авторам	автор
авторитет	авторитет
авторитета	авторитет
авторитеты	авторитет
авторов	автор
автором	автор
ага	аг
агадир	агадир
агамемнон	агамемнон
агаповну	агаповн
агафье	агаф
агафьей	агаф
агафьи	агаф
агафью	агаф
агафья	агаф
агента	агент
агонии	агон
агроном	агрон
агрономии	агроном
ад	ад
ада	ад
адам	ад
адамант	адамант
адвокат	адвокат
адвокатом	адвокат
адвокатского	адвокатск
адвокатской	адвокатск
адвокатскую	адвокатск
административный	административн
административных	административн
администратор	администратор
адмиралы	адмирал
адом	ад
адрес	адрес
адреса	адрес
адресный	адресн
адресовано	адресова
адресом	адрес
адресу	адрес
адрианополя	адрианопол
адриатической	адриатическ
адская	адск
адский	адск
ажно	ажн
азарта	азарт
азартом	азарт
азбуку	азбук
азвольте	азвольт
азиатской	азиатск
азиатчина	азиатчин
азии	аз
азию	аз
азраил	азра
азы	аз
аи	а
ай	а
айвазовского	айвазовск
айда	айд
ак	ак
академии	академ
академию	академ
акации	акац
акацию	акац
акварелью	акварел
аккомпанемент	аккомпанемент
аккомпанировал	аккомпанирова
аккорд	аккорд
аккорда	аккорд
аккордом	аккорд
аккуратнее	аккуратн
аккуратно	аккуратн
аккуратного	аккуратн
аккуратный	аккуратн
акмеизм	акмеизм
аксельбантами	аксельбант
аксинье	аксин
аксиома	аксиом
акт	акт
акта	акт
акте	акт
актер	актер
актерам	актер
актером	актер
актеры	актер
активной	активн
актриса	актрис
актрисой	актрис
актрисы	актрис
акулина	акулин
акулине	акулин
акулиной	акулин
акулину	акулин
акулины	акулин
акурат	акурат
акушером	акушер
акцентом	акцент
акцизе	акциз
акции	акц
аркадию	аркад
бедном	бедн
бескровно	бескровн
благословением	благословен
больниц	больниц
будущих	будущ
вблизи	вблиз
верхнюю	верхн
взяли	взял
внешний	внешн
войти	войт
восторгами	восторг
вспорхнулся	вспорхнул
выговорил	выговор
выработывались	выработыва
вьюгой	вьюг
глупым	глуп
городскую	городск
громкий	громк
дашенька	дашеньк
дергайте	дерга
довезу	довез
допустила	допуст
дружелюбно	дружелюбн
ездить	езд
жесте	жест
завален	завал
задача	задач
задачи	задач
задумчивости	задумчив
заливаться	залива
запирает	запира
застану	застан
зверства	зверств
знают	знают
извлекал	извлека
имущества	имуществ
истасканные	истаска
капиталов	капитал
кладовой	кладов
кольца	кольц
косою	кос
кровная	кровн
кушак	кушак
летал	лета
лоскутков	лоскутк
малиной	малин
мелеют	мелеют
милые	мил
молчаливые	молчалив
мучится	муч
надменность	надмен
нанималась	нанима
насмешливого	насмешлив
небожитель	небожител
нежность	нежност
необъятная	необъятн
несказа	несказ
никиты	никит
нянек	нянек
обманет	обманет
обставленная	обставлен
оградах	оград
окорока	окорок
орали	ора
остановит	останов
отдохнем	отдохн
отплясывал	отплясыва
отяжелели	отяжелел
парень	парен
переднюю	передн
перстом	перст
платьем	плат
повесил	повес
подвинулось	подвинул
подробная	подробн
познавала	познава
полезла	полезл
помадой	помад
попомните	попомн
пословица	пословиц
поторговалась	поторгова
поэтических	поэтическ
представление	представлен
прибудет	прибудет
призраками	призрак
припадочного	припадочн
приходит	приход
пришло	пришл
приятеля	приятел
прозрения	прозрен
проседью	просед
процедил	процед
пустынного	пустын
разберу	разбер
разливающейся	разлива
раскаивался	раскаива
рассчитали	рассчита
решалась	реша
роялем	роял
самостоятельностию	самостоятельн
свиток	свиток
семь	сем
сия	си
скрыли	скрыл
случайный	случайн
смыслят	смысл
содержание	содержан
соромники	соромник
спокойном	спокойн
стареньком	стареньк
страдании	страдан
судорогами	судорог
съезжаль	съезжал
телеграфе	телеграф
толст	толст
тревожном	тревожн
туче	туч
уведомление	уведомлен
увлекаться	увлека
уж	уж
умнейший	умн
усвоил	усво
утомлены	утомл
физиономию	физионом
хлопаньем	хлопан
цветешь	цветеш
чернильницу	чернильниц
чуждается	чужда
шопоте	шопот
этта	этт
